iter	Passed	Remaining
0	57	57870
1	58	29255
2	59	19656
3	59	14802
4	59	11909
5	60	9971
6	61	8670
7	61	7607
8	61	6778
9	61	6116
10	62	5576
11	62	5126
12	62	4765
13	62	4436
14	63	4153
15	63	3903
16	63	3685
17	63	3488
18	64	3313
19	64	3154
20	64	3011
21	64	2881
22	65	2763
23	65	2662
24	65	2562
25	65	2468
26	66	2382
27	66	2303
28	66	2229
29	66	2160
30	67	2095
31	67	2035
32	67	1990
33	68	1936
34	68	1885
35	68	1836
36	68	1792
37	69	1749
38	69	1708
39	69	1669
40	70	1642
41	70	1612
42	71	1584
43	71	1556
44	71	1525
45	72	1497
46	72	1470
47	72	1444
48	73	1419
49	73	1394
50	73	1371
51	73	1348
52	74	1327
53	75	1325
54	75	1304
55	76	1283
56	76	1263
57	76	1244
58	76	1225
59	77	1207
60	77	1189
61	77	1172
62	77	1156
63	78	1141
64	78	1127
65	78	1112
66	78	1098
67	79	1082
68	79	1069
69	79	1058
70	80	1048
71	80	1037
72	80	1025
73	81	1015
74	81	1005
75	81	994
76	82	984
77	82	974
78	82	964
79	82	954
80	83	947
81	83	937
82	84	930
83	84	923
84	84	913
85	86	918
86	86	910
87	87	903
88	87	896
89	87	888
90	88	880
91	88	872
92	88	865
93	89	859
94	90	863
95	90	856
96	91	850
97	92	848
98	92	842
99	93	837
100	94	841
101	94	836
102	95	833
103	96	828
104	96	822
105	96	815
106	97	809
107	97	803
108	97	796
109	98	793
110	98	790
111	99	786
112	99	782
113	100	781
114	102	790
115	102	784
116	103	782
117	104	778
118	104	772
119	104	768
120	105	764
121	105	760
122	105	753
123	106	749
124	106	744
125	106	740
126	107	735
127	109	743
128	110	743
129	110	738
130	112	744
131	112	740
132	112	736
133	113	732
134	113	727
135	113	722
136	114	718
137	114	713
138	114	708
139	114	704
140	114	699
141	115	695
142	115	691
143	115	686
144	115	682
145	116	678
146	116	674
147	116	670
148	117	669
149	117	665
150	117	661
151	117	657
152	118	653
153	118	650
154	118	646
155	118	642
156	118	638
157	119	634
158	119	631
159	119	627
160	119	624
161	120	620
162	120	617
163	120	613
164	120	610
165	120	607
166	121	604
167	121	600
168	121	597
169	121	594
170	122	591
171	122	588
172	122	585
173	122	583
174	123	580
175	123	577
176	123	574
177	123	571
178	124	569
179	124	566
180	124	562
181	124	560
182	124	557
183	125	554
184	125	551
185	125	549
186	125	546
187	125	543
188	126	541
189	126	538
190	126	535
191	126	533
192	126	530
193	127	530
194	127	527
195	128	525
196	128	522
197	128	520
198	128	518
199	128	515
200	129	513
201	129	511
202	129	508
203	129	506
204	129	504
205	130	501
206	130	499
207	130	497
208	130	495
209	131	493
210	131	490
211	131	488
212	131	486
213	131	484
214	132	482
215	132	480
216	132	478
217	132	476
218	132	474
219	133	472
220	133	470
221	133	468
222	133	466
223	133	464
224	134	462
225	134	460
